map,cycles_per_km,amplitude_levels
ours_plain_rescale,0.0026324213221915224,113120.8857137316
ours_plain_rescale,0.005264842644383045,52698.76098220054
ours_plain_rescale,0.007897263966574567,26499.037875383274
ours_plain_rescale,0.01052968528876609,15504.61221684904
ours_plain_rescale,0.013162106610957612,10066.417563371006
ours_plain_rescale,0.015794527933149134,7388.985786351975
ours_plain_rescale,0.018426949255340656,5490.695790364888
ours_plain_rescale,0.02105937057753218,3833.16129656765
ours_plain_rescale,0.023691791899723702,2736.20375195106
ours_plain_rescale,0.026324213221915225,2093.614172221862
ours_plain_rescale,0.028956634544106744,1604.6412698498682
ours_plain_rescale,0.03158905586629827,1267.3581195268134
ours_plain_rescale,0.03422147718848979,982.0930861263524
ours_plain_rescale,0.03685389851068131,837.9294642304357
ours_plain_rescale,0.03948631983287283,687.702852284217
ours_plain_rescale,0.04211874115506436,585.9354965344144
ours_plain_rescale,0.04475116247725588,505.710395342614
ours_plain_rescale,0.047383583799447404,444.57731908319175
ours_plain_rescale,0.05001600512163892,396.25141520961705
ours_plain_rescale,0.05264842644383045,354.98123778057305
ours_plain_rescale,0.05528084776602197,318.478152531382
ours_plain_rescale,0.05791326908821349,296.4243410967143
ours_plain_rescale,0.060545690410405015,279.3011023239776
ours_plain_rescale,0.06317811173259653,260.9323152732056
ours_plain_rescale,0.06581053305478805,244.1208072841331
ours_plain_rescale,0.06844295437697959,233.7724517503401
ours_plain_rescale,0.0710753756991711,223.67812548111058
ours_plain_rescale,0.07370779702136263,208.03428087319392
ours_plain_rescale,0.07634021834355414,198.1467503655374
ours_plain_rescale,0.07897263966574566,190.71832455252408
ours_plain_rescale,0.0816050609879372,183.28395168890248
ours_plain_rescale,0.08423748231012872,177.71523640117994
ours_plain_rescale,0.08686990363232024,170.59652282644348
ours_plain_rescale,0.08950232495451176,165.6083953043848
ours_plain_rescale,0.09213474627670329,164.2876481491659
ours_plain_rescale,0.09476716759889481,162.86654688676205
ours_plain_rescale,0.09739958892108633,158.15051501303552
ours_plain_rescale,0.10003201024327785,151.71386244410985
ours_plain_rescale,0.10266443156546937,148.26972189249997
ours_plain_rescale,0.1052968528876609,145.2148001584264
ours_plain_rescale,0.10792927420985242,143.10741459820414
ours_plain_rescale,0.11056169553204394,141.2117307670473
ours_plain_rescale,0.11319411685423546,138.09792963857734
ours_plain_rescale,0.11582653817642698,136.2348110505118
ours_plain_rescale,0.11845895949861851,131.554494282045
ours_plain_rescale,0.12109138082081003,130.3718195992699
ours_plain_rescale,0.12372380214300155,128.88045181101174
ours_plain_rescale,0.12635622346519307,126.1767413554383
ours_plain_rescale,0.1289886447873846,123.66500556301192
ours_plain_rescale,0.1316210661095761,121.27419024374774
ours_plain_rescale,0.13425348743176763,119.36779263127498
ours_plain_rescale,0.13688590875395917,116.62284209583639
ours_plain_rescale,0.1395183300761507,116.19965113191081
ours_plain_rescale,0.1421507513983422,111.07422132548369
ours_plain_rescale,0.14478317272053373,108.95054150623879
ours_plain_rescale,0.14741559404272525,108.35076396364833
ours_plain_rescale,0.15004801536491677,105.2096038942279
ours_plain_rescale,0.1526804366871083,102.87636577924168
ours_plain_rescale,0.1553128580092998,99.68403138979416
ours_plain_rescale,0.15794527933149133,98.14854846711467
ours_plain_rescale,0.16057770065368288,95.53414857588712
ours_plain_rescale,0.1632101219758744,93.31184619858436
ours_plain_rescale,0.16584254329806591,90.08215683401608
ours_plain_rescale,0.16847496462025743,88.76784964304103
ours_plain_rescale,0.17110738594244895,87.03161792840577
ours_plain_rescale,0.17373980726464047,84.24440756434448
ours_plain_rescale,0.176372228586832,82.17589420365793
ours_plain_rescale,0.1790046499090235,79.06720814528518
ours_plain_rescale,0.18163707123121503,76.92221388085562
ours_plain_rescale,0.18426949255340658,74.75888711603004
ours_plain_rescale,0.1869019138755981,70.67029165486714
ours_plain_rescale,0.18953433519778962,69.43371966003663
ours_plain_rescale,0.19216675651998114,66.60571212227886
ours_plain_rescale,0.19479917784217265,63.626391628920864
ours_plain_rescale,0.19743159916436417,62.47617000131866
ours_plain_rescale,0.2000640204865557,60.845053875308935
ours_plain_rescale,0.2026964418087472,60.33048462968524
ours_plain_rescale,0.20532886313093873,56.24301031634861
ours_plain_rescale,0.20796128445313025,54.62434232514939
ours_plain_rescale,0.2105937057753218,52.27035579805611
ours_plain_rescale,0.21322612709751332,50.175336073221196
ours_plain_rescale,0.21585854841970484,49.80170546919419
ours_plain_rescale,0.21849096974189636,47.26983863164181
ours_plain_rescale,0.22112339106408788,45.71971353833791
ours_plain_rescale,0.2237558123862794,43.79439683190089
ours_plain_rescale,0.22638823370847092,42.67191152015354
ours_plain_rescale,0.22902065503066243,41.81124334656006
ours_plain_rescale,0.23165307635285395,39.97659976822023
ours_plain_rescale,0.2342854976750455,39.52486945552317
ours_plain_rescale,0.23691791899723702,37.99007561325307
ours_plain_rescale,0.23955034031942854,36.9778770042522
ours_plain_rescale,0.24218276164162006,36.31733723962443
ours_plain_rescale,0.24481518296381158,35.230146390272
ours_plain_rescale,0.2474476042860031,35.32758862972488
ours_plain_rescale,0.25008002560819464,34.435662892137934
ours_plain_rescale,0.25271244693038614,33.793629244962915
