map,cycles_per_km,amplitude_levels
ck3_vanilla,0.0026324213221915224,61015.32490379083
ck3_vanilla,0.005264842644383045,35385.51877311335
ck3_vanilla,0.007897263966574567,23968.230328026504
ck3_vanilla,0.01052968528876609,16514.283693688027
ck3_vanilla,0.013162106610957612,11400.79765217813
ck3_vanilla,0.015794527933149134,8562.430270276544
ck3_vanilla,0.018426949255340656,6264.45186787038
ck3_vanilla,0.02105937057753218,4222.325437250893
ck3_vanilla,0.023691791899723702,3149.2951750282505
ck3_vanilla,0.026324213221915225,2371.5120223797453
ck3_vanilla,0.028956634544106744,1949.0179881173517
ck3_vanilla,0.03158905586629827,1508.9986299461555
ck3_vanilla,0.03422147718848979,1128.958823600051
ck3_vanilla,0.03685389851068131,1037.109420762317
ck3_vanilla,0.03948631983287283,853.6190199549619
ck3_vanilla,0.04211874115506436,693.0386541354893
ck3_vanilla,0.04475116247725588,598.9291869487226
ck3_vanilla,0.047383583799447404,485.2904815533347
ck3_vanilla,0.05001600512163892,438.12412285901263
ck3_vanilla,0.05264842644383045,404.5476987843786
ck3_vanilla,0.05528084776602197,366.27684767601204
ck3_vanilla,0.05791326908821349,347.7309527672922
ck3_vanilla,0.060545690410405015,302.1779573053181
ck3_vanilla,0.06317811173259653,273.2300845522691
ck3_vanilla,0.06581053305478805,256.0112493758513
ck3_vanilla,0.06844295437697959,253.80136752023728
ck3_vanilla,0.0710753756991711,229.2208045900259
ck3_vanilla,0.07370779702136263,210.70185408103114
ck3_vanilla,0.07634021834355414,191.25471679390898
ck3_vanilla,0.07897263966574566,184.84926993883482
ck3_vanilla,0.0816050609879372,172.27369494015082
ck3_vanilla,0.08423748231012872,160.66553834096155
ck3_vanilla,0.08686990363232024,150.18888719104442
ck3_vanilla,0.08950232495451176,139.8375418944855
ck3_vanilla,0.09213474627670329,140.30882937591375
ck3_vanilla,0.09476716759889481,134.05459046301354
ck3_vanilla,0.09739958892108633,127.65312961572529
ck3_vanilla,0.10003201024327785,129.22378373585633
ck3_vanilla,0.10266443156546937,122.75785456171809
ck3_vanilla,0.1052968528876609,111.26585768143542
ck3_vanilla,0.10792927420985242,108.38448492391625
ck3_vanilla,0.11056169553204394,97.65721857652812
ck3_vanilla,0.11319411685423546,96.00266191138623
ck3_vanilla,0.11582653817642698,88.46152107738884
ck3_vanilla,0.11845895949861851,86.61416578355102
ck3_vanilla,0.12109138082081003,82.29404396766863
