set,name,width,height,mode,bytes,path
ck3_mask,drylands_01_cracked_mask.png,9216,4608,L,815209,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/drylands_01_cracked_mask.png
ck3_mask,drylands_01_grassy_mask.png,9216,4608,L,3355274,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/drylands_01_grassy_mask.png
ck3_mask,drylands_01_mask.png,9216,4608,L,2077582,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/drylands_01_mask.png
ck3_mask,farm_paddy_01_mask.png,9216,4608,L,373039,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/farm_paddy_01_mask.png
ck3_mask,farmland_01_mask.png,9216,4608,L,300120,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/farmland_01_mask.png
ck3_mask,flood_mask.png,9216,4608,L,185697,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/flood_mask.png
ck3_mask,floodplains_01_mask.png,9216,4608,L,443381,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/floodplains_01_mask.png
ck3_mask,forest_jungle_01_mask.png,9216,4608,L,2214184,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/forest_jungle_01_mask.png
ck3_mask,forest_leaf_01_mask.png,9216,4608,L,1378332,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/forest_leaf_01_mask.png
ck3_mask,forest_pine_01_mask.png,9216,4608,L,2235771,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/forest_pine_01_mask.png
ck3_mask,forestfloor_mask.png,9216,4608,L,1729622,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/forestfloor_mask.png
ck3_mask,hills_01_mask.png,9216,4608,L,2769527,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/hills_01_mask.png
ck3_mask,hills_01_rocks_mask.png,9216,4608,L,1938024,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/hills_01_rocks_mask.png
ck3_mask,hills_01_rocks_medi_mask.png,9216,4608,L,1752048,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/hills_01_rocks_medi_mask.png
ck3_mask,hills_01_rocks_small_mask.png,9216,4608,L,1508992,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/hills_01_rocks_small_mask.png
ck3_mask,india_farmlands_mask.png,9216,4608,L,308361,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/india_farmlands_mask.png
ck3_mask,medi_dry_mud_mask.png,9216,4608,L,1006546,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/medi_dry_mud_mask.png
ck3_mask,medi_farmlands_mask.png,9216,4608,L,258721,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/medi_farmlands_mask.png
ck3_mask,medi_grass_01_mask.png,9216,4608,L,1217763,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/medi_grass_01_mask.png
ck3_mask,medi_lumpy_grass_mask.png,9216,4608,L,217032,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/medi_lumpy_grass_mask.png
ck3_mask,medi_noisy_grass_mask.png,9216,4608,L,329333,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/medi_noisy_grass_mask.png
ck3_mask,mountain_02_b_mask.png,9216,4608,L,413432,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_b_mask.png
ck3_mask,mountain_02_c_mask.png,9216,4608,L,85676,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_c_mask.png
ck3_mask,mountain_02_c_snow_mask.png,9216,4608,L,292395,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_c_snow_mask.png
ck3_mask,mountain_02_d_desert_mask.png,9216,4608,L,1046074,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_d_desert_mask.png
ck3_mask,mountain_02_d_mask.png,9216,4608,L,172501,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_d_mask.png
ck3_mask,mountain_02_d_snow_mask.png,9216,4608,L,116730,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_d_snow_mask.png
ck3_mask,mountain_02_d_valleys_mask.png,9216,4608,L,115905,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_d_valleys_mask.png
ck3_mask,mountain_02_desert_c_mask.png,9216,4608,L,437461,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_desert_c_mask.png
ck3_mask,mountain_02_mask.png,9216,4608,L,519624,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_mask.png
ck3_mask,mountain_02_snow_mask.png,9216,4608,L,197908,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_02_snow_mask.png
ck3_mask,mountain_03_mask.png,9216,4608,L,246623,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mountain_03_mask.png
ck3_mask,mud_wet_01_mask.png,9216,4608,L,431285,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/mud_wet_01_mask.png
