source,count,message_shape
pdx_persistent_reader,3,"Error: ""Failed to read key reference: e_north_sea: e_north_sea, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: d_dauphine: d_dauphine, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: e_britannia: e_britannia, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: k_wales: k_wales, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: d_cordoba: d_cordoba, near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: d_khorezm: d_khorezm, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: d_brittany: d_brittany, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,3,"Error: ""Failed to read key reference: h_roman_empire: h_roman_empire, near line: N"
culture_name_equivalency,3,"Missing loc Dobsoka: ""Dobsoka"""
history,3,Referencing non-existent character in script link character:easteregg_isabella_welch
history,3,Referencing non-existent character in script link character:easteregg_elisabeth_gangenes
history,3,Referencing non-existent character in script link character:easteregg_henrik_fahraeus
history,3,Referencing non-existent character in script link character:easteregg_alexander_oltner
history,3,Referencing non-existent character in script link character:easteregg_joacim_carlberg
history,3,Referencing non-existent character in script link character:easteregg_olof_bjork
history,3,Referencing non-existent character in script link character:easteregg_petter_lundh
history,3,Referencing non-existent character in script link character:easteregg_linnea_thimren
history,3,Referencing non-existent character in script link character:easteregg_matthew_clohessy
history,3,Referencing non-existent character in script link character:easteregg_steacy_mcilwham
history,3,Referencing non-existent character in script link character:easteregg_rebecca_gottfredsson
history,3,Referencing non-existent character in script link character:easteregg_nils_wadensten
history,3,Referencing non-existent character in script link character:easteregg_emil_tisander
history,3,Referencing non-existent character in script link character:easteregg_joel_hansson
history,3,Referencing non-existent character in script link character:easteregg_peter_johannesson
history,3,Referencing non-existent character in script link character:easteregg_malin_jonsson
history,3,Referencing non-existent character in script link character:easteregg_linda_tiger
history,3,Referencing non-existent character in script link character:easteregg_katya_boestad
history,3,Referencing non-existent character in script link character:easteregg_mathilda_bjarnehed
history,3,Referencing non-existent character in script link character:easteregg_milla_lankinen
history,3,Referencing non-existent character in script link character:easteregg_petter_vilberg
history,3,Referencing non-existent character in script link character:easteregg_henrik_lohmander
history,3,Referencing non-existent character in script link character:easteregg_max_weltz
history,3,Referencing non-existent character in script link character:easteregg_lysann_schlegel
history,3,Referencing non-existent character in script link character:easteregg_sean_hughes
history,3,Referencing non-existent character in script link character:easteregg_ismael_serrano
history,3,Referencing non-existent character in script link character:easteregg_bianca_savazzi
history,3,Referencing non-existent character in script link character:easteregg_christian_daflos
history,3,Referencing non-existent character in script link character:easteregg_max_collin
history,3,Referencing non-existent character in script link character:easteregg_jonas_wickerstrom
history,3,Referencing non-existent character in script link character:easteregg_tegan_harris
history,3,Referencing non-existent character in script link character:easteregg_paul_depre
history,3,Referencing non-existent character in script link character:easteregg_maximilian_olbers
history,3,Referencing non-existent character in script link character:easteregg_hanna_lohman
history,3,Referencing non-existent character in script link character:easteregg_anna_strom
history,3,Referencing non-existent character in script link character:easteregg_nikolaos_kaltsogiannis
history,3,Referencing non-existent character in script link character:easteregg_pontus_olofsson
history,3,Referencing non-existent character in script link character:easteregg_martin_anward
history,3,Referencing non-existent character in script link character:easteregg_zack_holmgren
history,3,Referencing non-existent character in script link character:easteregg_claudia_baldassi
history,3,Referencing non-existent character in script link character:easteregg_mathias_frostewarn
history,3,Referencing non-existent character in script link character:easteregg_marcus_bose
history,3,Referencing non-existent character in script link character:easteregg_jesse_kopparvall
history,3,Referencing non-existent character in script link character:easteregg_lukasz_opara
history,3,Referencing non-existent character in script link character:easteregg_mateusz_mierzwa
history,3,Referencing non-existent character in script link character:easteregg_natalia_lechnata
history,3,Referencing non-existent character in script link character:easteregg_natalia_poreba
history,3,Referencing non-existent character in script link character:easteregg_struan_mccallum
history,3,Referencing non-existent character in script link character:easteregg_riad_deneche
history,3,Referencing non-existent character in script link character:easteregg_anton_leirnes
history,3,Referencing non-existent character in script link character:easteregg_tomasz_ender
history,3,Referencing non-existent character in script link character:easteregg_stella_carrick
history,3,Referencing non-existent character in script link character:easteregg_fenni_johansson
history,3,Referencing non-existent character in script link character:easteregg_james_beaumont
history,3,Referencing non-existent character in script link character:easteregg_bahar_shefket
history,3,Referencing non-existent character in script link character:easteregg_hugo_cortell
history,3,Referencing non-existent character in script link character:easteregg_alexander_newcombe
history,3,Referencing non-existent character in script link character:easteregg_elena_zenko
history,3,Referencing non-existent character in script link character:easteregg_fei_berg_hulthen
history,3,Referencing non-existent character in script link character:easteregg_stina_arvidsson_radestig
history,3,Referencing non-existent character in script link character:easteregg_ola_jentzsch
history,3,Referencing non-existent character in script link character:easteregg_nikola_stokic
history,3,Referencing non-existent character in script link character:easteregg_tamara_stokic
history,3,Referencing non-existent character in script link character:easteregg_sandra_runge_moller
history,3,Referencing non-existent character in script link character:easteregg_jon_astrup_hallkvist
history,3,Referencing non-existent character in script link character:easteregg_maxence_voleau
history,3,Referencing non-existent character in script link character:easteregg_jason_cantalini
history,3,Referencing non-existent character in script link character:easteregg_fabian_franzen
history,3,Referencing non-existent character in script link character:easteregg_weronika_kowalczyk
history,3,Referencing non-existent character in script link character:easteregg_jakob_jorstedt
history,3,Referencing non-existent character in script link character:easteregg_berrak_oz
history,3,Referencing non-existent character in script link character:easteregg_tess_lindholm
history,3,Referencing non-existent character in script link character:easteregg_luke_bean
history,3,Referencing non-existent character in script link character:easteregg_artur_kacprzak
history,3,Referencing non-existent character in script link character:easteregg_tomas_versekys
history,3,Referencing non-existent character in script link character:easteregg_alexander_windahl
history,3,Referencing non-existent character in script link character:easteregg_johan_husen
history,3,Referencing non-existent character in script link character:easteregg_alexia_belfort
history,3,Referencing non-existent character in script link character:easteregg_david_drake
history,3,Referencing non-existent character in script link character:easteregg_ernesto_lopez
history,3,Referencing non-existent character in script link character:easteregg_lucas_ribeiro
history,3,Referencing non-existent character in script link character:easteregg_daniel_velasquez
history,3,Referencing non-existent character in script link character:easteregg_jakob_eklund
history,3,Referencing non-existent character in script link character:easteregg_emelie_verdugo
history,3,Referencing non-existent character in script link character:easteregg_anton_holmqvist
history,3,Referencing non-existent character in script link character:easteregg_samet_atasoy
history,3,Referencing non-existent character in script link character:easteregg_richard_lindkvist
history,3,Referencing non-existent character in script link character:easteregg_daniel_tolman
history,3,Referencing non-existent character in script link character:easteregg_jacopo_freddi
history,3,Referencing non-existent character in script link character:easteregg_francesca_passoni
history,3,Referencing non-existent character in script link character:easteregg_melanie_albarn
history,3,Referencing non-existent character in script link character:easteregg_alva_granholm
history,3,Referencing non-existent character in script link character:easteregg_david_ostlund
history,3,Referencing non-existent character in script link character:easteregg_philip_wessman
history,3,Referencing non-existent character in script link character:easteregg_neyla_garcia
history,3,Referencing non-existent character in script link character:easteregg_jonathan_collinder
history,3,Referencing non-existent character in script link character:easteregg_liana_tosunyan
