folder,files,files_with_map_refs,title_scope,title_bare,province,character,dynasty,geo_region,culture,faith,map_refs,ATL_replace_path,ATL_shadows,ATL_stubs,EK2_replace_path,EK2_shadows,EK2_stubs,GH_replace_path,GH_shadows,GH_stubs
common/decisions/dlc_decisions,3,3,208,0,0,0,0,16,38,28,224,0,3,0,0,3,0,0,3,0
common/decisions/dlc_decisions/bp3,1,1,36,4,3,0,0,0,0,0,43,0,1,0,0,1,0,0,1,0
common/decisions/dlc_decisions/bp_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/decisions/dlc_decisions/ce_1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
common/decisions/dlc_decisions/ep_1,2,2,6,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,2,0
common/decisions/dlc_decisions/ep_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/decisions/dlc_decisions/ep_3,4,4,6,0,0,8,0,111,2,3,125,0,3,0,0,4,1,0,4,1
common/decisions/dlc_decisions/fp_1,2,1,24,0,0,0,0,6,2,0,30,0,1,0,0,1,0,0,1,1
common/decisions/dlc_decisions/fp_3,5,2,21,0,0,0,0,7,3,15,28,0,1,0,0,3,2,0,3,2
common/decisions/dlc_decisions/mpo,5,2,12,0,0,3,0,19,1,4,34,0,1,0,0,4,0,0,5,0
common/decisions/dlc_decisions/tgp,10,6,241,17,0,0,0,0,4,7,258,0,0,0,0,8,0,0,8,1
common/defines,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
common/defines/ai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/defines/audio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/defines/graphic,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
common/defines/jomini,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/diarchies/diarchy_mandates,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
common/diarchies/diarchy_types,4,1,24,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,1,0
common/dna_data,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,1,1,0
common/domiciles/buildings,6,2,1,0,0,0,0,1,0,36,2,0,0,0,0,3,0,0,4,0
common/domiciles/types,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
common/dynasties,8,0,0,0,0,0,0,0,10340,0,0,1,1,0,1,1,1,1,6,6
common/dynasty_house_motto_inserts,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,1,0
common/dynasty_house_mottos,2,0,0,0,0,0,0,0,8,15,0,0,0,0,0,2,0,0,1,0
common/dynasty_houses,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,5,4
common/dynasty_legacies,10,1,0,0,0,0,0,2,4,0,2,0,0,0,0,5,0,0,4,1
common/dynasty_perks,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0
common/effect_localization,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
common/epidemics,2,1,5,0,15,0,0,15,0,16,35,0,1,0,0,1,0,0,1,0
common/ethnicities,25,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,12,0
common/event_2d_effects,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/event_backgrounds,3,2,38,4,0,0,0,295,0,152,337,0,2,0,0,3,0,0,2,0
common/event_themes,3,1,4,0,0,0,0,1,0,0,5,0,1,0,0,2,0,0,1,0
common/event_transitions,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/factions,7,2,21,0,0,0,0,0,0,9,21,0,0,0,0,7,0,0,5,0
common/flavorization,9,5,0,168,0,0,0,0,0,555,168,0,0,0,0,9,6,0,7,3
common/focuses,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
common/game_concepts,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,15,2
common/game_rules,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
common/genes,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,10,1
common/governments,3,2,3,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,2,0
common/graphical_unit_types,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
common/great_projects/types,4,3,341,0,0,0,0,28,0,2,369,0,0,0,0,4,0,0,3,0
common/guest_system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/holdings,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
common/hook_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/house_aspirations,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/house_relation_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/house_unities,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/important_actions,34,2,21,0,0,0,0,0,1,0,21,0,0,0,0,11,0,0,9,0
common/inspirations,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0
common/landed_titles,11,11,8,19787,0,0,0,0,142,20,19795,0,1,0,1,2,0,1,1,0
common/laws,6,4,29,0,0,0,0,0,0,2,29,0,0,0,0,5,0,0,4,0
common/lease_contracts,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/legends/chronicles,2,1,30,0,0,34,0,0,20,6,64,0,1,0,0,1,0,0,1,0
common/legends/legend_seeds,2,1,46,0,0,35,22,3,24,13,106,0,1,0,0,1,0,0,1,0
common/legends/legend_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
common/legitimacy,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0
common/lifestyle_perks,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,9,0
common/lifestyles,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/men_at_arms_types,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,10,5
common/message_filter_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/message_group_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/messages,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/modifier_definition_formats,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,2
common/modifier_icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/modifiers,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,24,4
common/named_colors,2,0,0,0,0,0,0,0,92,0,0,0,0,0,0,1,1,0,2,0
common/nicknames,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
common/on_action,66,15,614,11,30,199,11,15,233,59,880,0,10,0,0,44,0,0,39,3
common/on_action/activities,13,1,23,0,0,0,0,0,0,9,23,0,1,0,0,7,0,0,7,0
common/on_action/dlc/bp2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
common/on_action/dlc/ce1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/on_action/dlc/ep1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/on_action/dlc/ep2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
common/on_action/dlc/ep3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0
common/on_action/dlc/fp2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
common/on_action/dlc/mpo,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0
common/on_action/dlc/tgp,10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,3,1
common/on_action/lifestyles,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
common/on_action/relations,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
common/on_action/schemes,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0
common/on_action/story_cycles,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,1
common/opinion_modifiers,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
common/playable_difficulty_infos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/pool_character_selectors,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
common/portrait_types,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/province_terrain,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,2,0
common/raids/intents,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
common/religion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/religion/doctrine_group_types,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0
common/religion/doctrine_types,8,0,0,0,0,0,0,0,0,337,0,0,0,0,1,5,1,0,4,0
common/religion/holy_site_types,2,1,0,398,0,0,0,0,2,1,398,0,0,0,1,0,0,0,1,0
common/religion/religion_family_types,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0
common/religion/religion_types,50,6,0,35,0,0,0,0,6,377,35,0,0,0,1,0,0,1,0,0
common/ruler_objective_advice_types,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0
common/schemes/agent_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/schemes/pulse_actions,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/schemes/scheme_countermeasures,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/schemes/scheme_types,41,3,15,0,0,0,0,0,0,0,15,0,1,0,0,7,0,0,9,1
common/script_values,114,31,260,0,0,4,0,309,11,248,573,0,8,0,0,48,2,0,52,3
common/scripted_animations,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
common/scripted_character_templates,42,2,15,0,0,0,0,59,92,98,74,0,1,0,0,41,4,0,39,4
common/scripted_costs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/scripted_effects,166,59,3065,36,125,228,0,1693,256,369,5147,0,22,0,0,86,3,0,94,5
common/scripted_guis,7,1,6,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0
common/scripted_lists,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/scripted_modifiers,44,8,29,0,0,5,0,3,9,8,37,0,2,0,0,13,0,0,14,0
common/scripted_relations,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/scripted_rules,1,1,7,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,1,0
common/scripted_triggers,135,43,352,0,6,5,0,511,136,431,874,0,10,0,0,79,2,0,82,6
common/secret_types,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0
common/situation/catalysts,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
common/situation/situation_group_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/situation/situations,11,2,40,0,0,0,0,11,0,0,51,0,0,0,0,10,0,0,8,5
common/story_cycles,53,9,45,0,0,4,0,11,22,10,60,0,4,0,0,22,13,0,24,10
common/struggle/catalysts,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
common/struggle/struggles,3,1,3,0,0,0,0,0,25,21,3,0,0,0,0,3,0,0,2,2
common/subject_contracts/contracts,16,1,6,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,0
common/subject_contracts/groups,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
common/succession_appointment,9,5,15,0,0,0,0,0,0,0,15,0,0,0,0,8,0,0,5,0
common/succession_election,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
common/suggestions,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
common/task_contracts,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
common/tax_slots/obligations,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
common/tax_slots/types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
common/terrain_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
common/traits,2,1,2,0,0,0,0,9,0,63,11,0,0,0,0,2,0,0,1,0
common/travel/point_of_interest_types,2,1,0,0,51,0,0,0,0,0,51,0,1,0,0,1,0,0,1,0
common/travel/travel_options,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
common/trigger_localization,52,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0
common/tutorial_lesson_chains,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
common/tutorial_lessons,10,4,27,0,0,0,0,0,0,0,27,0,4,0,0,6,0,0,4,0
common/vassal_stances,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0
events,33,14,121,2,21,50,5,71,192,54,270,0,10,1,0,22,3,0,21,5
events/activities,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
events/activities/chariot_race_activity,3,1,0,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
events/activities/coronation_activity,7,4,51,0,0,0,0,9,4,61,60,0,0,0,0,5,0,0,5,0
events/activities/debate_activity,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
events/activities/feast_activity,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0
events/activities/feast_activity/main_events,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0
events/activities/festival_activity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
