folder,files,files_with_map_refs,title_scope,title_bare,province,character,dynasty,geo_region,culture,faith,map_refs,ATL_replace_path,ATL_shadows,ATL_stubs,EK2_replace_path,EK2_shadows,EK2_stubs,GH_replace_path,GH_shadows,GH_stubs
events/scheme_events/court_scheme,2,1,0,0,0,0,0,5,0,4,5,0,0,0,0,1,0,0,1,0
events/scheme_events/elope_scheme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events/scheme_events/fabricate_hook_scheme,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events/scheme_events/learn_language_scheme,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
events/scheme_events/mandala_schemes,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0
events/scheme_events/murder_scheme,6,2,5,0,0,0,0,0,0,1,5,0,0,0,0,5,0,0,3,0
events/scheme_events/seduce_scheme,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
events/scheme_events/steal_back_artifact_scheme,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events/scheme_events/steal_herd_scheme,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events/scheme_events/study_confucian_classics_scheme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
events/scheme_events/sway_scheme,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0
events/secret_events,2,1,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0
events/situation_events,3,1,10,0,0,0,0,1,0,0,11,0,0,0,0,1,0,0,1,0
events/story_cycles,12,6,26,0,0,19,0,4,1,47,49,0,5,0,0,8,1,0,8,4
events/story_cycles/murders_at_court,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
events/story_cycles/peasant_affair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
events/stress_events,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,4,0
events/test_events,6,1,1,0,0,1,0,0,0,6,2,0,2,0,0,2,0,0,1,0
events/trait_specific_events,3,1,0,1,0,0,0,0,0,14,1,0,0,0,0,2,0,0,2,0
events/travel_events,24,9,3,0,4,0,0,40,3,35,47,0,1,0,0,12,0,0,18,2
events/war_events,3,1,0,0,0,6,0,0,3,0,6,0,1,0,0,3,0,0,3,0
events/yearly_events,12,6,7,0,0,0,3,29,22,29,39,0,2,0,0,11,2,0,11,1
history,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
history/artifacts,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
history/characters,207,84,828,105,139,282,0,0,71405,71604,1354,1,2,0,1,0,0,1,1,0
history/cultures,134,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0
history/province_mapping,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
history/provinces,177,0,0,0,0,0,0,0,6153,7046,0,1,0,0,1,0,0,1,0,0
history/situations,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
history/struggles,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0
history/titles,183,183,46,17292,0,0,0,0,2,4,17338,1,0,0,1,3,0,1,0,0
history/wars,1,1,0,35,0,0,0,0,0,0,35,1,0,0,1,1,0,0,1,1
gui,195,0,0,0,0,0,0,0,0,6,0,0,2,0,0,24,0,0,49,0
gui/achievements,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
gui/activity_locale_widgets,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/activity_window_widgets,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
gui/applicationutils,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/debug,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
gui/decision_view_widgets,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/event_window_widgets,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/event_windows,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
gui/jomini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/jomini/credits,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/jomini/encyclopedia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/jomini/music_player,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/map_editor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/notifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/pdx_account,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/preload,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
gui/scripted_widgets,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/settings,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gui/shared,29,0,0,0,0,0,0,0,1,88,0,0,0,0,0,4,0,0,13,0
gfx/map/map_object_data,28,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,3,0,22,5
gfx/map/map_object_data/generated,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0
gfx/portraits/portrait_modifiers,33,8,15,0,0,507,0,0,337,46,522,0,8,0,1,25,15,0,28,2
gfx/court_scene/character_groups,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gfx/court_scene/character_roles,3,1,4,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,1,0
gfx/court_scene/scene_cultures,2,1,18,0,0,0,0,0,1,3,18,0,2,1,0,1,0,0,1,0
gfx/court_scene/scene_environment,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gfx/court_scene/scene_settings,54,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0
gfx/court_scene/scene_settings/grandeur_levels,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
gfx/interface/illustrations/scripted_illustrations,8,1,40,0,0,0,0,166,20,121,206,0,1,0,0,1,0,0,3,0
map_data/geographical_regions,3,3,0,7020,0,0,0,0,0,0,7020,0,1,0,0,3,0,1,2,0
tests,18,5,15,8,0,2,0,0,0,2,25,1,0,0,0,9,9,0,12,12
