id,kind,faerun_file,vanilla_file,status,changed_keys,uses_faerun_mechanic,vanilla_dup_count,faerun_dup_count
100094,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100095,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100096,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
1001,character_event,events/personality_traits_events.txt,events/personality_traits_events.txt,modified,desc;option,,1,1
10010,narrative_event,events/legends_events.txt,events/legends_events.txt,kept,,,1,1
100100,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,modified,immediate;only_women;trigger,,1,1
100101,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100102,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100105,character_event,,events/friends_rivals_events.txt,deleted,,,1,0
100106,character_event,,events/friends_rivals_events.txt,deleted,,,1,0
100107,character_event,,events/friends_rivals_events.txt,deleted,,,1,0
100108,character_event,,events/friends_rivals_events.txt,deleted,,,1,0
10011,narrative_event,events/legends_events.txt,events/legends_events.txt,modified,option,,1,1
100110,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,job_titles;objectives,1,1
100111,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100112,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,job_titles;objectives,1,1
100113,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100115,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100116,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100117,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
10012,narrative_event,events/legends_events.txt,events/legends_events.txt,kept,,,1,1
10013,narrative_event,events/legends_events.txt,events/legends_events.txt,kept,,,1,1
100150,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
