edge,depth,r,g,b
bottom,69,142.0,179.0,0.0
bottom,70,142.0,174.0,0.0
bottom,71,140.0,170.0,0.0
bottom,72,140.0,162.0,0.0
bottom,73,140.0,158.0,0.0
bottom,74,140.0,154.0,0.0
bottom,75,140.0,150.0,0.0
bottom,76,139.2,142.0,0.0
bottom,77,137.0,135.0,0.0
bottom,78,137.0,132.0,0.0
bottom,79,134.0,129.0,0.0
bottom,80,134.0,125.0,0.0
bottom,81,132.0,120.8,0.0
bottom,82,132.0,117.0,0.0
bottom,83,132.0,111.0,0.0
bottom,84,132.0,109.0,0.0
bottom,85,132.0,105.8,0.0
bottom,86,132.0,102.0,0.0
bottom,87,132.0,100.5,0.0
bottom,88,129.0,99.0,0.0
bottom,89,127.5,99.0,0.0
bottom,90,126.0,99.0,0.0
bottom,91,123.0,97.0,0.0
bottom,92,123.0,94.8,0.0
bottom,93,123.0,93.0,0.0
bottom,94,120.0,90.8,0.0
bottom,95,115.0,90.0,0.0
left,0,148.0,244.0,255.0
left,1,150.0,249.0,255.0
left,2,150.0,249.0,255.0
left,3,153.0,252.0,255.0
left,4,153.0,255.0,255.0
left,5,153.0,255.0,255.0
left,6,153.0,255.0,255.0
left,7,153.0,255.0,255.0
left,8,153.0,255.0,255.0
left,9,153.0,255.0,255.0
left,10,153.0,255.0,255.0
left,11,153.0,255.0,255.0
left,12,153.0,253.0,255.0
left,13,153.0,252.4,255.0
left,14,153.0,252.0,255.0
left,15,150.0,251.0,255.0
left,16,153.0,247.0,255.0
left,17,153.0,247.0,255.0
left,18,150.0,247.0,255.0
left,19,150.0,247.0,255.0
left,20,148.0,240.0,255.0
left,21,148.0,237.0,255.0
left,22,148.0,233.0,249.0
left,23,148.0,231.0,239.0
left,24,148.0,223.0,206.0
left,25,145.0,216.0,137.0
left,26,142.0,209.7,68.0
left,27,140.0,203.0,16.0
left,28,132.0,186.0,0.0
left,29,131.0,179.0,0.0
left,30,123.0,169.4,0.0
left,31,123.0,162.0,0.0
left,32,107.0,150.0,0.0
left,33,101.0,137.0,0.0
left,34,93.0,121.0,0.0
left,35,90.0,110.0,0.0
left,36,80.1,91.7,0.0
left,37,71.0,85.0,0.0
left,38,65.3,73.0,0.0
left,39,58.0,68.3,0.0
left,40,49.0,56.0,0.0
left,41,41.7,48.0,0.0
left,42,38.0,40.0,0.0
left,43,33.0,32.0,0.0
left,44,24.0,24.0,0.0
left,45,19.0,20.0,0.0
left,46,18.0,14.7,0.0
left,47,16.0,12.0,0.0
left,48,16.0,8.0,0.0
left,49,10.0,6.0,0.0
left,50,8.0,4.0,0.0
left,51,8.0,4.0,0.0
left,52,5.0,2.0,0.0
left,53,2.0,1.0,0.0
left,54,0.0,1.0,0.0
left,55,0.0,1.0,0.0
left,56,0.0,1.0,0.0
left,57,0.0,0.0,0.0
left,58,0.0,0.0,0.0
left,59,0.0,0.0,0.0
left,60,0.0,0.0,0.0
left,61,0.0,0.0,0.0
left,62,0.0,0.0,0.0
left,63,0.0,0.0,0.0
left,64,0.0,0.0,0.0
left,65,0.0,0.0,0.0
left,66,0.0,0.0,0.0
left,67,0.0,0.0,0.0
left,68,0.0,0.0,0.0
left,69,0.0,0.0,0.0
left,70,0.0,0.0,0.0
left,71,0.0,0.0,0.0
left,72,0.0,0.0,0.0
left,73,0.0,0.0,0.0
left,74,0.0,0.0,0.0
left,75,0.0,0.0,0.0
left,76,0.0,0.0,0.0
left,77,0.0,0.0,0.0
left,78,0.0,0.0,0.0
left,79,0.0,0.0,0.0
left,80,0.0,0.0,0.0
left,81,0.0,0.0,0.0
left,82,0.0,0.0,0.0
left,83,0.0,0.0,0.0
left,84,0.0,0.0,0.0
left,85,0.0,0.0,0.0
left,86,0.0,0.0,0.0
left,87,0.0,0.0,0.0
left,88,0.0,0.0,0.0
left,89,0.0,0.0,0.0
left,90,0.0,0.0,0.0
left,91,0.0,0.0,0.0
