map,pit_px,pit_mean,pit_p95,pit_p99,pit_max,pit_frac_gt_riser,bump_px,bump_mean,bump_p95,bump_p99,bump_max,bump_frac_gt_riser,region,bound_under_frac,bound_over_frac,bound_under_p99,bound_under_max,bound_over_max,sink_p99,sink_max,sink_frac_gt_riser,delta_mean,delta_std,grad_kurtosis,grad_p99_over_rms,grad_rms_levels_per_km,ridge_share,ridge_mean_run_px,ridge_p90_run_px,shape_px
plain_rescale,295889,-420.3,0.0,0.0,0.0,0.0,295889,-428.8,0.0,0.0,0.0,0.0,thay,0.0,0.0,0.0,0.0,0.0,1108.0,7479.0,0.03988,0.0,0.0,10.187,3.195,254.2,0.152,140.22,27.0,264688
build15,295889,-301.2,576.0,2612.0,8141.0,0.09341,295889,-547.8,268.0,734.0,4927.0,0.04803,thay,0.08809,0.04508,2381.2,7815.8,4303.2,1041.0,5040.0,0.0532,-119.0,752.7,2.306,2.891,240.4,0.1224,97.05,32.0,264688
after,295889,-393.5,136.0,392.0,829.0,0.01777,295889,-455.5,54.0,242.0,659.0,0.00807,thay,3e-05,4e-05,0.0,276.4,194.4,1208.0,6163.0,0.04787,-26.7,277.9,6.065,3.356,270.0,0.1233,83.95,26.0,264688
plain_rescale,27817,-703.0,0.0,0.0,0.0,0.0,27817,-707.2,0.0,0.0,0.0,0.0,spine,0.0,0.0,0.0,0.0,0.0,1385.0,3047.0,0.05831,0.0,0.0,2.481,2.663,366.4,0.1289,72.13,33.8,24087
build15,27817,-613.6,514.0,1352.7,5874.0,0.08797,27817,-796.7,267.0,759.8,2851.0,0.04857,spine,0.07876,0.03074,830.0,5566.6,2227.2,1420.5,3353.0,0.06374,-89.4,713.6,1.029,2.483,343.4,0.1112,70.94,33.0,24087
after,27817,-651.9,140.0,392.8,825.0,0.01733,27817,-758.4,-12.0,178.8,622.0,0.00485,spine,0.00093,0.00018,0.0,397.4,84.8,1481.7,2841.0,0.0609,-51.1,334.8,1.718,2.728,388.6,0.1257,75.13,38.0,24087
